service_id,date,exception_type
L5 04LP201_005004,20260714,1
L5 04LP201_005004,20260715,1
L5 04SP101_005004,20260711,1
L5 05FP101_005005,20260712,1
L5 05LP101_005005,20260709,1
L5 05LP101_005005,20260710,1
L5 05LP101_005005,20260713,1
L5 05LP101_005005,20260714,1
L5 05LP101_005005,20260715,1
L5 05SP101_005005,20260711,1
L5 06FP101_005006,20260712,1
L5 06LP101_005006,20260709,1
L5 06LP101_005006,20260710,1
L5 06LP101_005006,20260713,1
L5 06LP101_005006,20260714,1
L5 06LP101_005006,20260715,1
L5 06SP101_005006,20260711,1
L5 07LP101_005007,20260709,1
L5 07LP101_005007,20260710,1
L5 07LP101_005007,20260713,1
L5 07LP101_005007,20260714,1
L5 07LP101_005007,20260715,1
L7 01FP104_007001,20260712,1
L7 01LP201_007001,20260709,1
L7 01LP201_007001,20260710,1
L7 01LP201_007001,20260713,1
L7 01LP201_007001,20260714,1
L7 01LP201_007001,20260715,1
L7 01SP105_007001,20260711,1
L7 02FP105_007002,20260712,1
L7 02LV103_007002,20260709,1
L7 02LV103_007002,20260710,1
L7 02LV103_007002,20260713,1
L7 02LV103_007002,20260714,1
L7 02LV103_007002,20260715,1
L7 02SP103_007002,20260711,1
L7 03LP104_007003,20260709,1
L7 03LP104_007003,20260710,1
L7 03LP104_007003,20260713,1
L7 03LP104_007003,20260714,1
L7 03LP104_007003,20260715,1
L7 04LP102_007004,20260709,1
L7 04LP102_007004,20260710,1
L7 04LP102_007004,20260713,1
L7 04LP102_007004,20260714,1
L7 04LP102_007004,20260715,1
NC101LP200_001005,20260710,1
NC101SN101_001005,20260711,1
PSA04LP101_304001,20260709,1
PSA04LP101_304001,20260710,1
PSA04LP101_304001,20260713,1
PSA04LP101_304001,20260714,1
PSA04LP101_304001,20260715,1
RE 02LP700_170002,20260709,1
RE 02LP700_170002,20260710,1
RE 02LP800_170002,20260713,1
RE 02LP800_170002,20260714,1
RE 02LP800_170002,20260715,1
REF01LP901_150001,20260709,1
REF01LP901_150001,20260710,1
REF01LP901_150001,20260713,1
REF01LP901_150001,20260714,1
REF01LP901_150001,20260715,1
REF02LV 01_150002,20260709,1
REF02LV 01_150002,20260710,1
REF02LV 01_150002,20260713,1
REF02LV 01_150002,20260714,1
REF02LV 01_150002,20260715,1
REF03LPV00_150003,20260709,1
REF03LPV00_150003,20260710,1
REF03LPV00_150003,20260713,1
REF03LPV00_150003,20260714,1
REF03LPV00_150003,20260715,1
REF04LP204_150004,20260709,1
REF04LP204_150004,20260710,1
REF04LP204_150004,20260713,1
REF04LP204_150004,20260714,1
REF04LP204_150004,20260715,1
RES02L0100_004901,20260709,1
RES02L0100_013201,20260709,1
RES02L0100_004901,20260710,1
RES02L0100_013201,20260710,1
RES02L0100_004901,20260713,1
RES02L0100_013201,20260713,1
RES02L0100_004901,20260714,1
RES02L0100_013201,20260714,1
RES02L0100_004901,20260715,1
RES02L0100_013201,20260715,1
RES05L0100_400005,20260709,1
RES05L0100_400005,20260710,1
RES05L0100_400005,20260713,1
RES05L0100_400005,20260714,1
RES05L0100_400005,20260715,1
TUR01FPV03_500001,20260712,1
TUR01LPV03_500001,20260709,1
TUR01LPV03_500001,20260710,1
TUR01LPV03_500001,20260713,1
TUR01LPV03_500001,20260714,1
TUR01LPV03_500001,20260715,1
TUR01SPV03_500001,20260711,1
